cell-image-link href,image,name
https://www.levi.com/US/en_US/clothing/men/jeans/straight/501-original-shrink-to-fit-mens-jeans/p/005013669,"https://lsco.scene7.com/is/image/lsco/005013669-front-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",501® ORIGINAL SHRINK-TO-FIT™ MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/relaxed/555-relaxed-straight-linen-denim-mens-jeans/p/000LO0012,"https://lsco.scene7.com/is/image/lsco/000LO0012-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",555™ RELAXED STRAIGHT LINEN+ DENIM MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/loose/568-loose-linen-denim-mens-jeans/p/290370082,"https://lsco.scene7.com/is/image/lsco/290370082-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",568™ LOOSE LINEN+ DENIM MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/505-regular-fit-lightweight-mens-jeans/p/005053068,"https://lsco.scene7.com/is/image/lsco/005053068-front-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",505™ REGULAR FIT LIGHTWEIGHT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/taper/502-taper-fit-mens-jeans/p/295071442,"https://lsco.scene7.com/is/image/lsco/295071442-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",502™ TAPER FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/relaxed/559-relaxed-straight-fit-mens-jeans/p/005590625,"https://lsco.scene7.com/is/image/lsco/005590625-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",559™ RELAXED STRAIGHT FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/skinny/510-skinny-fit-mens-jeans/p/055101351,"https://lsco.scene7.com/is/image/lsco/055101351-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",510™ SKINNY FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/loose/568-loose-straight-carpenter-mens-jeans/p/558490067,"https://lsco.scene7.com/is/image/lsco/558490067-front-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",568™ LOOSE STRAIGHT CARPENTER MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/loose/578-baggy-mens-jeans/p/A47500021,"https://lsco.scene7.com/is/image/lsco/A47500021-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",578™ BAGGY MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/501-93-straight-fit-selvedge-mens-jeans/p/798300356,"https://lsco.scene7.com/is/image/lsco/798300356-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",501® '93 STRAIGHT FIT SELVEDGE MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/bootcut/517-bootcut-mens-jeans/p/005170244,"https://lsco.scene7.com/is/image/lsco/005170244-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",517™ BOOTCUT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/taper/502-taper-fit-mens-jeans/p/295071461,"https://lsco.scene7.com/is/image/lsco/295071461-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",502™ TAPER FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/taper/502-taper-fit-linen-denim-mens-jeans/p/295071636,"https://lsco.scene7.com/is/image/lsco/295071636-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",502™ TAPER FIT LINEN+ DENIM MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/taper/502-taper-fit-selvedge-mens-jeans/p/295071449,"https://lsco.scene7.com/is/image/lsco/295071449-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",502™ TAPER FIT SELVEDGE MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/taper/501-slim-taper-fit-selvedge-mens-jeans/p/288940269,"https://lsco.scene7.com/is/image/lsco/288940269-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",501® SLIM TAPER FIT SELVEDGE MEN'S JEANS
