url,name,image
https://www.hollisterco.com/shop/us/p/slim-straight-chino-pants-57207502?categoryId=12589&faceout=model&seq=06&pagefm=navigation-grid&prodvm=navigation-grid,SLIM STRAIGHT CHINO PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-4091-0123-120_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/relaxed-twill-cargo-joggers-56896952?categoryId=12589&faceout=prod&seq=09&pagefm=navigation-grid&prodvm=navigation-grid,RELAXED TWILL CARGO JOGGERS,https://img.hollisterco.com/is/image/anf/KIC_330-4108-0125-900_prod2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/relaxed-twill-cargo-joggers-56896952?categoryId=12589&faceout=prod&seq=09&pagefm=navigation-grid&prodvm=navigation-grid,RELAXED TWILL CARGO JOGGERS,https://img.hollisterco.com/is/image/anf/KIC_330-4108-0125-900_prod1.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/dark-wash-boot-jeans-59034191?categoryId=12589&faceout=model&seq=12&pagefm=navigation-grid&prodvm=navigation-grid,MEDIUM WASH BOOTCUT JEANS,https://img.hollisterco.com/is/image/anf/KIC_331-5097-00007-276_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/slim-straight-chino-pants-59033955?categoryId=12589&faceout=model&seq=07&pagefm=navigation-grid&prodvm=navigation-grid,SLIM STRAIGHT CHINO PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-4188-00129-900_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/dark-wash-slim-straight-jeans-59034181?categoryId=12589&faceout=model&seq=23&pagefm=navigation-grid&prodvm=navigation-grid,DARK WASH SLIM STRAIGHT JEANS,https://img.hollisterco.com/is/image/anf/KIC_331-5085-00031-276_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/loose-carpenter-jeans-57374668?categoryId=12589&faceout=model&seq=23&pagefm=navigation-grid&prodvm=navigation-grid,LOOSE CARPENTER JEANS,https://img.hollisterco.com/is/image/anf/KIC_331-4117-00080-180_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/baggy-track-pants-58874976?categoryId=12589&faceout=model&seq=01&pagefm=navigation-grid&prodvm=navigation-grid,BAGGY TRACK PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-5045-00186-200_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/light-wash-playing-cards-graphic-super-baggy-jeans-58860935?categoryId=12589&faceout=model&seq=08&afsource=social+proofing&pagefm=navigation-grid&prodvm=navigation-grid,LIGHT WASH PLAYING CARDS GRAPHIC SUPER BAGGY JEANS,https://img.hollisterco.com/is/image/anf/KIC_331-5079-00167-280_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/baggy-cargo-pull-on-pants-58344350?categoryId=12589&faceout=prod&seq=06&pagefm=navigation-grid&prodvm=navigation-grid,BAGGY CARGO PULL-ON PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-4147-00123-900_model1.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/linen-blend-loose-pull-on-pants-59034122?categoryId=12589&faceout=model&seq=06&pagefm=navigation-grid&prodvm=navigation-grid,LINEN-BLEND LOOSE PULL-ON PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-5011-00199-100_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/light-wash-baggy-cargo-jeans-58875666?categoryId=12589&faceout=model&seq=41&afsource=social+proofing&pagefm=navigation-grid&prodvm=navigation-grid,LIGHT WASH BAGGY CARGO JEANS,https://img.hollisterco.com/is/image/anf/KIC_331-5030-00207-280_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/dark-wash-boot-jeans-59034125?categoryId=12589&faceout=model&seq=14&pagefm=navigation-grid&prodvm=navigation-grid,DARK WASH BOOTCUT JEANS,https://img.hollisterco.com/is/image/anf/KIC_331-5146-00010-276_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/light-wash-slim-straight-jeans-59034068?categoryId=12589&faceout=model&seq=25&pagefm=navigation-grid&prodvm=navigation-grid,LIGHT WASH SLIM STRAIGHT JEANS,https://img.hollisterco.com/is/image/anf/KIC_331-5039-00032-280_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/skinny-chino-pants-57207479?categoryId=12589&faceout=model&seq=04&pagefm=navigation-grid&prodvm=navigation-grid,SKINNY CHINO PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-4070-0021-200_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/light-wash-straight-jeans-59034338?categoryId=12589&faceout=model&seq=01&pagefm=navigation-grid&prodvm=navigation-grid,LIGHT WASH STRAIGHT JEANS,https://img.hollisterco.com/is/image/anf/KIC_331-5197-00237-280_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/linen-blend-loose-pull-on-pants-59034127?categoryId=12589&faceout=model&seq=01&pagefm=navigation-grid&prodvm=navigation-grid,LINEN-BLEND LOOSE PULL-ON PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-5012-00192-422_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/straight-chino-pants-57207657?categoryId=12589&faceout=model&seq=04&pagefm=navigation-grid&prodvm=navigation-grid,STRAIGHT CHINO PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-4096-0065-178_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/relaxed-all-day-taper-pants-58874980?categoryId=12589&faceout=model&seq=01&pagefm=navigation-grid&prodvm=navigation-grid,RELAXED ALL-DAY TAPER PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-5020-00185-178_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/baggy-cargo-pull-on-pants-58344366?categoryId=12589&faceout=prod&seq=03&pagefm=navigation-grid&prodvm=navigation-grid,BAGGY CARGO PULL-ON PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-4150-00126-178_model1.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/skinny-chino-pants-57207497?categoryId=12589&faceout=model&seq=02&pagefm=navigation-grid&prodvm=navigation-grid,SKINNY CHINO PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-4072-0020-110_model1.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/baggy-camo-cargo-pull-on-pants-59033962?categoryId=12589&faceout=model&seq=01&pagefm=navigation-grid&prodvm=navigation-grid,BAGGY CAMO CARGO PULL-ON PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-5038-00189-109_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/washed-black-loose-jeans-58553332?categoryId=12589&faceout=model&seq=35&pagefm=navigation-grid&prodvm=navigation-grid,WASHED BLACK LOOSE JEANS,https://img.hollisterco.com/is/image/anf/KIC_331-4191-00202-977_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/boot-jeans-59034128?categoryId=12589&faceout=model&seq=13&pagefm=navigation-grid&prodvm=navigation-grid,BOOTCUT JEANS,https://img.hollisterco.com/is/image/anf/KIC_331-5147-00011-278_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/black-baggy-carpenter-jeans-58661001?categoryId=12589&faceout=model&seq=33&pagefm=navigation-grid&prodvm=navigation-grid,BLACK BAGGY CARPENTER JEANS,https://img.hollisterco.com/is/image/anf/KIC_331-5173-00203-977_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/washed-black-slim-straight-jeans-57521463?categoryId=12589&faceout=model&seq=18&pagefm=navigation-grid&prodvm=navigation-grid,WASHED BLACK SLIM STRAIGHT JEANS,https://img.hollisterco.com/is/image/anf/KIC_331-4133-00027-977_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/straight-chino-pants-57207353?categoryId=12589&faceout=model&seq=03&pagefm=navigation-grid&prodvm=navigation-grid,STRAIGHT CHINO PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-4097-0062-900_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/linen-blend-loose-pull-on-pants-59034494?categoryId=12589&faceout=model&seq=07&pagefm=navigation-grid&prodvm=navigation-grid,LINEN-BLEND LOOSE PULL-ON PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-5000-00206-475_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/baggy-cargo-pull-on-pants-58552964?categoryId=12589&faceout=model&seq=07&pagefm=navigation-grid&prodvm=navigation-grid,BAGGY CARGO PULL-ON PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-4146-00122-200_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/light-wash-loose-jeans-57207325?categoryId=12589&faceout=model&seq=25&pagefm=navigation-grid&prodvm=navigation-grid,,
https://www.hollisterco.com/shop/us/p/straight-chino-pants-57207360?categoryId=12589&faceout=model&seq=05&pagefm=navigation-grid&prodvm=navigation-grid,STRAIGHT CHINO PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-4095-0060-410_model2.jpg?policy=product-large
https://www.hollisterco.com/shop/us/p/loose-chino-pants-57732894?categoryId=12589&faceout=model&seq=01&pagefm=navigation-grid&prodvm=navigation-grid,LOOSE PANTS,https://img.hollisterco.com/is/image/anf/KIC_330-4169-00108-200_model2.jpg?policy=product-large
